ID,gender,dir,degree,average
106204035,2,2,3,2392.6131
106204035,2,2,4,2389.9695
106209042,1,1,1,863.4147
106209042,1,1,2,1542.8181
106209042,1,1,3,1853.2988
106209042,1,1,4,1856.0605
106209042,1,2,1,1492.732
106209042,1,2,2,1385.499036
106209042,1,2,3,1753.967
106209042,1,2,4,2022.1767
106502011,2,1,1,917.1223
106502011,2,1,2,1713.2495
106502011,2,1,3,1924.4672
106502011,2,1,4,2239.8067
106502011,2,2,1,1487.2323
106502011,2,2,2,1559.677451
106502011,2,2,3,1860.2956
106502011,2,2,4,2248.6251
106702002,1,1,1,1061.2084
106702002,1,1,2,1931.081
106702002,1,1,3,2559.7983
106702002,1,1,4,2918.1355
106702002,1,2,1,1825.9578
106702002,1,2,2,2132.50227
106702002,1,2,3,2592.2193
106702002,1,2,4,2743.9064
106702016,2,1,1,693.2638
106702016,2,1,2,1120.8244
106702016,2,1,3,1350.8512
106702016,2,1,4,1351.8047
106702016,2,2,1,949.6088
106702016,2,2,2,969.7862079
106702016,2,2,3,1218.6417
106702016,2,2,4,1292.2837
106702031,2,1,1,860.674
106702031,2,1,2,1446.1842
106702031,2,1,3,2295.5942
106702031,2,1,4,2009.7036
106702031,2,2,1,1160.0216
106702031,2,2,2,1537.424774
106702031,2,2,3,2037.2784
106702031,2,2,4,2091.6895
107102047,2,1,1,806.689
107102047,2,1,2,1347.3534
107102047,2,1,3,1965.432
107102047,2,1,4,2051.1765
107102047,2,2,1,1546.6567
107102047,2,2,2,1509.412423
107102047,2,2,3,1923.8988
107102047,2,2,4,1770.8588
107702002,1,1,1,918.5311
107702002,1,1,2,1543.5911
107702002,1,1,3,1801.2098
107702002,1,1,4,1845.3519
107702002,1,2,1,1407.5672
107702002,1,2,2,1474.006972
107702002,1,2,3,2184.446
107702002,1,2,4,2131.5219
107702003,2,1,1,923.5245
107702003,2,1,2,1246.8177
107702003,2,1,3,1805.7681
107702003,2,1,4,1741.9247
107702003,2,2,1,1205.9006
107702003,2,2,2,1159.426216
107702003,2,2,3,1799.5972
107702003,2,2,4,1715.8124
107702004,2,1,1,775.3007
107702004,2,1,2,1353.0413
107702004,2,1,3,2301.6207
107702004,2,1,4,2066.3256
107702004,2,2,1,1432.2972
107702004,2,2,2,1729.800048
107702004,2,2,3,2306.7601
107702004,2,2,4,2394.6165
107702006,1,1,1,907.9055
107702006,1,1,2,1627.0204
107702006,1,1,3,2100.2482
107702006,1,1,4,1797.7212
107702006,1,2,1,1299.1372
107702006,1,2,2,1314.385834
107702006,1,2,3,1934.7152
107702006,1,2,4,2012.6653
107702009,2,1,1,1247.9898
107702009,2,1,2,1996.2707
107702009,2,1,3,2470.5821
107702009,2,1,4,2583.4836
107702009,2,2,1,1787.9844
107702009,2,2,2,2095.695276
107702009,2,2,3,2198.56
107702009,2,2,4,2439.267
107702010,2,1,1,978.451
107702010,2,1,2,1815.8684
107702010,2,1,3,2377.392
107702010,2,1,4,2566.2795
107702010,2,2,1,1550.1499
107702010,2,2,2,1423.087951
107702010,2,2,3,2223.8359
107702010,2,2,4,2357.0353
107702012,1,1,1,974.4329
107702012,1,1,2,2265.0469
107702012,1,1,3,2350.2686
107702012,1,1,4,2401.9536
107702012,1,2,1,1914.059
107702012,1,2,2,1850.852601
107702012,1,2,3,2247.4893
107702012,1,2,4,2292.1907
107702013,2,1,1,1139.6595
107702013,2,1,2,1880.5841
107702013,2,1,3,2454.159
107702013,2,1,4,2758.8425
107702013,2,2,1,1555.4227
107702013,2,2,2,1681.911619
107702013,2,2,3,2529.0543
107702013,2,2,4,2518.7722
107702014,1,1,1,955.0101
107702014,1,1,2,1480.3964
107702014,1,1,3,1921.9312
107702014,1,1,4,1605.0804
107702014,1,2,1,1520.2407
107702014,1,2,2,1615.419449
107702014,1,2,3,1711.4038
107702014,1,2,4,2191.4089
107702016,2,1,1,1108.3566
107702016,2,1,2,1511.9851
107702016,2,1,3,1508.7227
107702016,2,1,4,1653.6182
107702016,2,2,1,1483.5738
107702016,2,2,2,853.1099767
107702016,2,2,3,1227.7552
107702016,2,2,4,1627.2517
107702017,2,1,1,959.3968
107702017,2,1,2,1263.6267
107702017,2,1,3,1768.9137
107702017,2,1,4,1462.0974
107702017,2,2,1,1382.3829
107702017,2,2,2,1317.947657
107702017,2,2,3,1752.1618
107702017,2,2,4,1711.6073
107702018,2,1,1,663.0005
107702018,2,1,2,698.9713
107702018,2,1,3,700.8532
107702018,2,1,4,757.1518
107702018,2,2,1,809.6442
107702018,2,2,2,771.3716518
107702018,2,2,3,739.0212
107702018,2,2,4,696.5458
107702020,2,1,1,810.6977
107702020,2,1,2,1150.4969
107702020,2,1,3,1690.3602
107702020,2,1,4,2102.0844
107702020,2,2,1,1134.727
107702020,2,2,2,1381.070864
107702020,2,2,3,1696.5761
107702020,2,2,4,1860.6765
107702024,2,1,1,1260.5954
